scan_timestamp_utc,scan_timestamp_local,record_id,curated_window,curated_mode,curated_experiment,matching_key_type,matching_run_count,matching_unique_run_data_row,matching_alice_file,matching_alice_results_line_numbers,matching_zerothird_results_data_rows,path
2026-07-09T07:50:41.661521+00:00,2026-07-09T09:50:41.661521+02:00,CHSH_S,"500 ps, 3 sigma",optimize,CHSH,record_id_and_timestamp,1,1,alice_CHSH_S_20260709T075041.661521Z_exp_20.0s.bin,30479,1,Data/DelayScans/initial_delay_scans_CHSH_S_20260709T075041.661521Z.png
2026-07-09T07:52:41.480113+00:00,2026-07-09T09:52:41.480113+02:00,CHSH_S,800 ps,optimize,CHSH,record_id_and_timestamp,1,2,alice_CHSH_S_20260709T075241.480113Z_exp_20.0s.bin,30480,2,Data/DelayScans/initial_delay_scans_CHSH_S_20260709T075241.480113Z.png
2026-07-09T07:54:08.700029+00:00,2026-07-09T09:54:08.700029+02:00,CHSH_S,800 ps,optimize,CHSH,record_id_and_timestamp,1,3,alice_CHSH_S_20260709T075408.700029Z_exp_20.0s.bin,30481,3,Data/DelayScans/initial_delay_scans_CHSH_S_20260709T075408.700029Z.png
2026-07-09T07:55:40.420028+00:00,2026-07-09T09:55:40.420028+02:00,CHSH_S,"480 ps, 3 sigma",optimize,CHSH,record_id_and_timestamp,1,4,alice_CHSH_S_20260709T075540.420028Z_exp_20.0s.bin,30482,4,Data/DelayScans/initial_delay_scans_CHSH_S_20260709T075540.420028Z.png
2026-07-09T07:56:42.747318+00:00,2026-07-09T09:56:42.747318+02:00,CHSH_S,"480 ps, 3 sigma",optimize,CHSH,record_id_and_timestamp,1,5,alice_CHSH_S_20260709T075642.747318Z_exp_20.0s.bin,30483,5,Data/DelayScans/initial_delay_scans_CHSH_S_20260709T075642.747318Z.png
2026-07-09T07:58:07.844174+00:00,2026-07-09T09:58:07.844174+02:00,CHSH_S,"475 ps, 3 sigma",optimize,CHSH,record_id_and_timestamp,1,6,alice_CHSH_S_20260709T075807.844174Z_exp_20.0s.bin,30484,6,Data/DelayScans/initial_delay_scans_CHSH_S_20260709T075807.844174Z.png
2026-07-09T08:01:27.031245+00:00,2026-07-09T10:01:27.031245+02:00,CHSH_S,"475 ps, 3 sigma",optimize,CHSH,record_id_and_timestamp,1,7,alice_CHSH_S_20260709T080127.031245Z_exp_20.0s.bin,30485,7,Data/DelayScans/initial_delay_scans_CHSH_S_20260709T080127.031245Z.png
2026-07-09T09:07:42.087504+00:00,2026-07-09T11:07:42.087504+02:00,CHSH_S,"475 ps, 3 sigma",optimize,CHSH,record_id_and_timestamp,1,85,alice_CHSH_S_20260709T090742.087504Z_exp_20.0s.bin,30563,85,Data/DelayScans/initial_delay_scans_CHSH_S_20260709T090742.087504Z.png
2026-07-09T09:43:49.709655+00:00,2026-07-09T11:43:49.709655+02:00,QKD,"475 ps, 3 sigma",optimize,QKD+CHSH,record_id_and_timestamp,1,128,alice_QKD_20260709T094349.709655Z_exp_20.0s.bin,30606-30607,128-129,Data/DelayScans/initial_delay_scans_QKD_20260709T094349.709655Z.png
2026-07-09T09:58:26.634576+00:00,2026-07-09T11:58:26.634576+02:00,QKD,"475 ps, 3 sigma",optimize,QKD+CHSH,record_id_and_timestamp,1,156,alice_QKD_20260709T095826.634576Z_exp_20.0s.bin,30662-30663,184-185,Data/DelayScans/initial_delay_scans_QKD_20260709T095826.634576Z.png
2026-07-09T10:49:39.952439+00:00,2026-07-09T12:49:39.952439+02:00,QKD,"475 ps, 3 sigma",optimize,QKD+CHSH,record_id_and_timestamp,1,262,alice_QKD_20260709T104939.952439Z_exp_20.0s.bin,30874-30875,396-397,Data/DelayScans/initial_delay_scans_QKD_20260709T104939.952439Z.png
