zerothird_unique_run_data_row,run_timestamp_utc,run_timestamp_local,record_id,alice_file,filename_kind,curated_window,curated_mode,rows,qkd_rows,chsh_rows,alice_results_csv,alice_results_data_rows,alice_results_line_numbers,first_alice_results_line_number,last_alice_results_line_number,good_results_combined_csv,good_results_combined_data_rows,zerothird_results_csv,zerothird_results_data_rows,first_zerothird_results_data_row,last_zerothird_results_data_row
1,2026-07-09T07:50:41.661521+00:00,2026-07-09T09:50:41.661521+02:00,CHSH_S,alice_CHSH_S_20260709T075041.661521Z_exp_20.0s.bin,CHSH_S filename,"500 ps, 3 sigma",optimize,1,0,1,Data/alice_results.csv,30478,30479,30479,30479,Data/GoodResults/alice_results_good_since_20260628.csv,15342,Data/GoodResults/alice_results_good_ZeroThird_since_20260709.csv,1,1,1
2,2026-07-09T07:52:41.480113+00:00,2026-07-09T09:52:41.480113+02:00,CHSH_S,alice_CHSH_S_20260709T075241.480113Z_exp_20.0s.bin,CHSH_S filename,800 ps,optimize,1,0,1,Data/alice_results.csv,30479,30480,30480,30480,Data/GoodResults/alice_results_good_since_20260628.csv,15343,Data/GoodResults/alice_results_good_ZeroThird_since_20260709.csv,2,2,2
3,2026-07-09T07:54:08.700029+00:00,2026-07-09T09:54:08.700029+02:00,CHSH_S,alice_CHSH_S_20260709T075408.700029Z_exp_20.0s.bin,CHSH_S filename,800 ps,optimize,1,0,1,Data/alice_results.csv,30480,30481,30481,30481,Data/GoodResults/alice_results_good_since_20260628.csv,15344,Data/GoodResults/alice_results_good_ZeroThird_since_20260709.csv,3,3,3
4,2026-07-09T07:55:40.420028+00:00,2026-07-09T09:55:40.420028+02:00,CHSH_S,alice_CHSH_S_20260709T075540.420028Z_exp_20.0s.bin,CHSH_S filename,"480 ps, 3 sigma",optimize,1,0,1,Data/alice_results.csv,30481,30482,30482,30482,Data/GoodResults/alice_results_good_since_20260628.csv,15345,Data/GoodResults/alice_results_good_ZeroThird_since_20260709.csv,4,4,4
5,2026-07-09T07:56:42.747318+00:00,2026-07-09T09:56:42.747318+02:00,CHSH_S,alice_CHSH_S_20260709T075642.747318Z_exp_20.0s.bin,CHSH_S filename,"480 ps, 3 sigma",optimize,1,0,1,Data/alice_results.csv,30482,30483,30483,30483,Data/GoodResults/alice_results_good_since_20260628.csv,15346,Data/GoodResults/alice_results_good_ZeroThird_since_20260709.csv,5,5,5
6,2026-07-09T07:58:07.844174+00:00,2026-07-09T09:58:07.844174+02:00,CHSH_S,alice_CHSH_S_20260709T075807.844174Z_exp_20.0s.bin,CHSH_S filename,"475 ps, 3 sigma",optimize,1,0,1,Data/alice_results.csv,30483,30484,30484,30484,Data/GoodResults/alice_results_good_since_20260628.csv,15347,Data/GoodResults/alice_results_good_ZeroThird_since_20260709.csv,6,6,6
7,2026-07-09T08:01:27.031245+00:00,2026-07-09T10:01:27.031245+02:00,CHSH_S,alice_CHSH_S_20260709T080127.031245Z_exp_20.0s.bin,CHSH_S filename,"475 ps, 3 sigma",optimize,1,0,1,Data/alice_results.csv,30484,30485,30485,30485,Data/GoodResults/alice_results_good_since_20260628.csv,15348,Data/GoodResults/alice_results_good_ZeroThird_since_20260709.csv,7,7,7
8,2026-07-09T08:02:17.088990+00:00,2026-07-09T10:02:17.088990+02:00,CHSH_S_step0001,alice_CHSH_S_step0001_20260709T080217.088990Z_exp_20.0s.bin,CHSH_S filename,"475 ps, 3 sigma",optimize,1,0,1,Data/alice_results.csv,30485,30486,30486,30486,Data/GoodResults/alice_results_good_since_20260628.csv,15349,Data/GoodResults/alice_results_good_ZeroThird_since_20260709.csv,8,8,8
9,2026-07-09T08:03:05.926574+00:00,2026-07-09T10:03:05.926574+02:00,CHSH_S_step0002,alice_CHSH_S_step0002_20260709T080305.926574Z_exp_20.0s.bin,CHSH_S filename,"475 ps, 3 sigma",optimize,1,0,1,Data/alice_results.csv,30486,30487,30487,30487,Data/GoodResults/alice_results_good_since_20260628.csv,15350,Data/GoodResults/alice_results_good_ZeroThird_since_20260709.csv,9,9,9
10,2026-07-09T08:03:55.124894+00:00,2026-07-09T10:03:55.124894+02:00,CHSH_S_step0003,alice_CHSH_S_step0003_20260709T080355.124894Z_exp_20.0s.bin,CHSH_S filename,"475 ps, 3 sigma",optimize,1,0,1,Data/alice_results.csv,30487,30488,30488,30488,Data/GoodResults/alice_results_good_since_20260628.csv,15351,Data/GoodResults/alice_results_good_ZeroThird_since_20260709.csv,10,10,10
