run_start_utc,run_start_local,experiment,window_ps,sigma,mode,notes,record_id,reference_delay_scan,window_source,title_match_score,title_runner_up_window_ps
2026-07-09T07:50:41.661521+00:00,2026-07-09T09:50:41.661521+02:00,CHSH,500,3,optimize,Reference delay scan Data/DelayScans/initial_delay_scans_CHSH_S_20260709T075041.661521Z.png; window source=manual_override; match_score=0.195861; runner_up=800 ps.,CHSH_S,Data/DelayScans/initial_delay_scans_CHSH_S_20260709T075041.661521Z.png,manual_override,0.195861,800
2026-07-09T07:52:41.480113+00:00,2026-07-09T09:52:41.480113+02:00,CHSH,800,,optimize,Reference delay scan Data/DelayScans/initial_delay_scans_CHSH_S_20260709T075241.480113Z.png; window source=title_match; match_score=0.188095; runner_up=500 ps.,CHSH_S,Data/DelayScans/initial_delay_scans_CHSH_S_20260709T075241.480113Z.png,title_match,0.188095,500
2026-07-09T07:54:08.700029+00:00,2026-07-09T09:54:08.700029+02:00,CHSH,800,,optimize,Reference delay scan Data/DelayScans/initial_delay_scans_CHSH_S_20260709T075408.700029Z.png; window source=title_match; match_score=0.184713; runner_up=500 ps.,CHSH_S,Data/DelayScans/initial_delay_scans_CHSH_S_20260709T075408.700029Z.png,title_match,0.184713,500
2026-07-09T07:55:40.420028+00:00,2026-07-09T09:55:40.420028+02:00,CHSH,480,3,optimize,Reference delay scan Data/DelayScans/initial_delay_scans_CHSH_S_20260709T075540.420028Z.png; window source=title_match; match_score=0.187240; runner_up=800 ps.,CHSH_S,Data/DelayScans/initial_delay_scans_CHSH_S_20260709T075540.420028Z.png,title_match,0.187240,800
2026-07-09T07:56:42.747318+00:00,2026-07-09T09:56:42.747318+02:00,CHSH,480,3,optimize,Reference delay scan Data/DelayScans/initial_delay_scans_CHSH_S_20260709T075642.747318Z.png; window source=title_match; match_score=0.188517; runner_up=750 ps.,CHSH_S,Data/DelayScans/initial_delay_scans_CHSH_S_20260709T075642.747318Z.png,title_match,0.188517,750
2026-07-09T07:58:07.844174+00:00,2026-07-09T09:58:07.844174+02:00,CHSH,475,3,optimize,Reference delay scan Data/DelayScans/initial_delay_scans_CHSH_S_20260709T075807.844174Z.png; window source=title_match; match_score=0.174797; runner_up=480 ps.,CHSH_S,Data/DelayScans/initial_delay_scans_CHSH_S_20260709T075807.844174Z.png,title_match,0.174797,480
2026-07-09T08:01:27.031245+00:00,2026-07-09T10:01:27.031245+02:00,CHSH,475,3,optimize,Reference delay scan Data/DelayScans/initial_delay_scans_CHSH_S_20260709T080127.031245Z.png; window source=title_match; match_score=0.174797; runner_up=480 ps.,CHSH_S,Data/DelayScans/initial_delay_scans_CHSH_S_20260709T080127.031245Z.png,title_match,0.174797,480
2026-07-09T09:07:42.087504+00:00,2026-07-09T11:07:42.087504+02:00,CHSH,475,3,optimize,Reference delay scan Data/DelayScans/initial_delay_scans_CHSH_S_20260709T090742.087504Z.png; window source=title_match; match_score=0.174797; runner_up=480 ps.,CHSH_S,Data/DelayScans/initial_delay_scans_CHSH_S_20260709T090742.087504Z.png,title_match,0.174797,480
2026-07-09T09:43:49.709655+00:00,2026-07-09T11:43:49.709655+02:00,QKD+CHSH,475,3,optimize,Reference delay scan Data/DelayScans/initial_delay_scans_QKD_20260709T094349.709655Z.png; window source=title_match; match_score=0.174797; runner_up=480 ps.,QKD,Data/DelayScans/initial_delay_scans_QKD_20260709T094349.709655Z.png,title_match,0.174797,480
2026-07-09T09:58:26.634576+00:00,2026-07-09T11:58:26.634576+02:00,QKD+CHSH,475,3,optimize,Reference delay scan Data/DelayScans/initial_delay_scans_QKD_20260709T095826.634576Z.png; window source=title_match; match_score=0.174797; runner_up=480 ps.,QKD,Data/DelayScans/initial_delay_scans_QKD_20260709T095826.634576Z.png,title_match,0.174797,480
2026-07-09T10:49:39.952439+00:00,2026-07-09T12:49:39.952439+02:00,QKD+CHSH,475,3,optimize,Reference delay scan Data/DelayScans/initial_delay_scans_QKD_20260709T104939.952439Z.png; window source=title_match; match_score=0.174797; runner_up=480 ps.,QKD,Data/DelayScans/initial_delay_scans_QKD_20260709T104939.952439Z.png,title_match,0.174797,480
2026-07-09T11:59:35.015679+00:00,2026-07-09T13:59:35.015679+02:00,QKD+CHSH,475,3,optimize,Reference delay scan Data/DelayScans/initial_delay_scans_QKD_20260709T115935.015679Z.png; window source=title_match; match_score=0.175460; runner_up=480 ps.,QKD,Data/DelayScans/initial_delay_scans_QKD_20260709T115935.015679Z.png,title_match,0.175460,480
2026-07-10T06:13:16.089971+00:00,2026-07-10T08:13:16.089971+02:00,CHSH,475,3,optimize,Reference delay scan Data/DelayScans/initial_delay_scans_CHSH_S_20260710T061316.089971Z.png; window source=title_match; match_score=0.178860; runner_up=480 ps.,CHSH_S,Data/DelayScans/initial_delay_scans_CHSH_S_20260710T061316.089971Z.png,title_match,0.178860,480
2026-07-10T06:29:17.760904+00:00,2026-07-10T08:29:17.760904+02:00,CHSH,475,3,optimize,Reference delay scan Data/DelayScans/initial_delay_scans_CHSH_S_20260710T062917.760904Z.png; window source=title_match; match_score=0.178860; runner_up=480 ps.,CHSH_S,Data/DelayScans/initial_delay_scans_CHSH_S_20260710T062917.760904Z.png,title_match,0.178860,480
