timestamp,S_value,E_ab,E_abp,E_apb,E_apbp,C_HH,C_HV,C_VH,C_VV,C_HD,C_HA,C_VD,C_VA,C_DH,C_DV,C_AH,C_AV,C_DD,C_DA,C_AD,C_AA,total_coinc
1762168629.9371743,2.06276,0.4693,0.60194,-0.58656,0.40496,131,65,56,204,119,43,39,211,31,167,140,49,112,75,33,143,"dict_values([131, 65, 56, 204, 119, 43, 39, 211, 31, 167, 140, 49, 112, 75, 33, 143])"
1762168632.7415848,2.25086,0.35548,0.73432,-0.92969,0.23137,79,55,42,125,99,20,16,136,1,123,124,8,67,70,28,90,"dict_values([79, 55, 42, 125, 99, 20, 16, 136, 1, 123, 124, 8, 67, 70, 28, 90])"
1762168635.5769236,2.28515,0.36364,0.74377,-0.8913,0.28643,77,47,37,103,126,12,24,119,5,127,134,10,59,47,24,69,"dict_values([77, 47, 37, 103, 126, 12, 24, 119, 5, 127, 134, 10, 59, 47, 24, 69])"
1762168638.3793397,2.22,0.35971,0.74046,-0.90244,0.21739,69,48,41,120,106,7,27,122,3,129,105,9,57,73,17,83,"dict_values([69, 48, 41, 120, 106, 7, 27, 122, 3, 129, 105, 9, 57, 73, 17, 83])"
1762168641.2107553,2.05664,0.29787,0.75801,-0.88755,0.11321,80,48,51,103,103,8,26,144,2,125,110,12,39,69,25,79,"dict_values([80, 48, 51, 103, 103, 8, 26, 144, 2, 125, 110, 12, 39, 69, 25, 79])"
1762168644.0117137,2.25177,0.32576,0.73881,-0.89256,0.29464,61,48,41,114,117,13,22,116,4,118,111,9,68,52,27,77,"dict_values([61, 48, 41, 114, 117, 13, 22, 116, 4, 118, 111, 9, 68, 52, 27, 77])"
1762168646.8519886,1.98424,0.28667,0.70526,-0.86555,0.12676,72,60,47,121,110,13,29,133,4,124,98,12,62,69,24,58,"dict_values([72, 60, 47, 121, 110, 13, 29, 133, 4, 124, 98, 12, 62, 69, 24, 58])"
1762168649.6830604,2.20762,0.33333,0.7554,-0.93985,0.17904,69,55,38,117,123,11,23,121,1,131,127,7,67,70,24,68,"dict_values([69, 55, 38, 117, 123, 11, 23, 121, 1, 131, 127, 7, 67, 70, 24, 68])"
1762168652.5096226,2.2189,0.28517,0.725,-0.936,0.27273,66,50,44,103,94,9,24,113,1,123,119,7,69,51,25,64,"dict_values([66, 50, 44, 103, 94, 9, 24, 113, 1, 123, 119, 7, 69, 51, 25, 64])"
1762168655.388433,2.07034,0.21477,0.70566,-0.89431,0.25561,64,56,61,117,100,14,25,126,4,138,95,9,74,56,27,66,"dict_values([64, 56, 61, 117, 100, 14, 25, 126, 4, 138, 95, 9, 74, 56, 27, 66])"
1762168658.2228374,2.05031,0.20819,0.68504,-0.91057,0.24651,67,56,60,110,93,13,27,121,3,128,107,8,56,61,20,78,"dict_values([67, 56, 60, 110, 93, 13, 27, 121, 3, 128, 107, 8, 56, 61, 20, 78])"
1762168661.0864036,2.25031,0.33333,0.7301,-0.94309,0.24378,75,48,47,115,120,20,19,130,3,123,116,4,58,52,24,67,"dict_values([75, 48, 47, 115, 120, 20, 19, 130, 3, 123, 116, 4, 58, 52, 24, 67])"
1762168663.9676456,2.14663,0.2342,0.77432,-0.85811,0.28,62,49,54,104,101,10,19,127,5,146,129,16,63,47,25,65,"dict_values([62, 49, 54, 104, 101, 10, 19, 127, 5, 146, 129, 16, 63, 47, 25, 65])"
1762168666.8229458,2.09262,0.36,0.65818,-0.91525,0.15918,78,60,36,126,94,15,32,134,1,108,118,9,73,82,21,69,"dict_values([78, 60, 36, 126, 94, 15, 32, 134, 1, 108, 118, 9, 73, 82, 21, 69])"
1762168669.6611586,2.12343,0.32704,0.71315,-0.90625,0.17699,81,49,58,130,99,13,23,116,4,121,123,8,67,65,28,66,"dict_values([81, 49, 58, 130, 99, 13, 23, 116, 4, 121, 123, 8, 67, 65, 28, 66])"
1762168672.5055199,1.97573,0.2029,0.72388,-0.86713,0.18182,75,62,48,91,105,15,22,126,7,154,113,12,63,70,20,67,"dict_values([75, 62, 48, 91, 105, 15, 22, 126, 7, 154, 113, 12, 63, 70, 20, 67])"
1762168675.3142216,2.23753,0.30065,0.69492,-0.93103,0.31092,86,52,55,113,80,17,19,120,3,124,100,5,84,63,19,72,"dict_values([86, 52, 55, 113, 80, 17, 19, 120, 3, 124, 100, 5, 84, 63, 19, 72])"
1762168678.2044725,2.05165,0.23288,0.67969,-0.94074,0.19835,63,62,50,117,97,16,25,118,0,132,130,8,65,71,26,80,"dict_values([63, 62, 50, 117, 97, 16, 25, 118, 0, 132, 130, 8, 65, 71, 26, 80])"
1762168681.0027351,2.25343,0.31081,0.76106,-0.91304,0.26852,72,58,44,122,81,13,14,118,4,119,123,7,71,53,26,66,"dict_values([72, 58, 44, 122, 81, 13, 14, 118, 4, 119, 123, 7, 71, 53, 26, 66])"
1762168683.8102715,2.2156,0.36,0.73145,-0.91506,0.20909,84,59,37,120,119,18,20,126,4,132,116,7,64,60,27,69,"dict_values([84, 59, 37, 120, 119, 18, 20, 126, 4, 132, 116, 7, 64, 60, 27, 69])"
1762168686.6610665,2.11426,0.20423,0.73444,-0.86179,0.31381,61,57,56,110,86,15,17,123,3,123,106,14,80,67,15,77,"dict_values([61, 57, 56, 110, 86, 15, 17, 123, 3, 123, 106, 14, 80, 67, 15, 77])"
1762168689.4978917,2.34511,0.33921,0.67766,-0.95082,0.37743,67,39,36,85,98,15,29,131,3,130,108,3,83,57,23,94,"dict_values([67, 39, 36, 85, 98, 15, 29, 131, 3, 130, 108, 3, 83, 57, 23, 94])"
1762168692.3183036,2.2701,0.32414,0.76712,-0.84861,0.33023,62,54,44,130,108,11,23,150,4,116,116,15,77,61,11,66,"dict_values([62, 54, 44, 130, 108, 11, 23, 150, 4, 116, 116, 15, 77, 61, 11, 66])"
1762168695.1852121,2.14595,0.26829,0.76522,-0.92095,0.19149,61,49,41,95,91,9,18,112,0,121,122,10,53,54,22,59,"dict_values([61, 49, 41, 95, 91, 9, 18, 112, 0, 121, 122, 10, 53, 54, 22, 59])"
1762168698.0507736,2.28323,0.35294,0.79845,-0.86517,0.26667,68,39,49,116,87,7,19,145,4,136,113,14,62,53,24,71,"dict_values([68, 39, 49, 116, 87, 7, 19, 145, 4, 136, 113, 14, 62, 53, 24, 71])"
1762168700.885984,2.03237,0.25795,0.7541,-0.91506,0.10526,75,60,45,103,96,13,17,118,0,128,120,11,67,66,36,59,"dict_values([75, 60, 45, 103, 96, 13, 17, 118, 0, 128, 120, 11, 67, 66, 36, 59])"
1762168703.7277708,2.06157,0.21429,0.77947,-0.9084,0.15942,81,54,67,106,108,13,16,126,4,125,125,8,59,65,22,61,"dict_values([81, 54, 67, 106, 108, 13, 16, 126, 4, 125, 125, 8, 59, 65, 22, 61])"
1762168706.51256,2.16377,0.3254,0.70037,-0.9761,0.1619,58,46,39,109,100,13,27,127,0,127,121,3,63,71,17,59,"dict_values([58, 46, 39, 109, 100, 13, 27, 127, 0, 127, 121, 3, 63, 71, 17, 59])"
1762168709.3800478,2.05952,0.25694,0.68254,-0.8481,0.27193,75,56,51,106,101,20,20,111,5,109,110,13,75,63,20,70,"dict_values([75, 56, 51, 106, 101, 20, 20, 111, 5, 109, 110, 13, 75, 63, 20, 70])"
1762168712.1675277,2.01044,0.17073,0.73793,-0.92531,0.17647,70,68,51,98,109,10,28,143,2,128,104,7,61,66,25,69,"dict_values([70, 68, 51, 98, 109, 10, 28, 143, 2, 128, 104, 7, 61, 66, 25, 69])"
1762168714.951729,2.04609,0.26667,0.73519,-0.86992,0.17431,70,55,55,120,96,15,23,153,3,113,117,13,59,65,25,69,"dict_values([70, 55, 55, 120, 96, 15, 23, 153, 3, 113, 117, 13, 59, 65, 25, 69])"
1762168717.78513,2.28531,0.36913,0.72438,-0.91561,0.27619,73,49,45,131,94,16,23,150,5,96,131,5,62,56,20,72,"dict_values([73, 49, 45, 131, 94, 16, 23, 150, 5, 96, 131, 5, 62, 56, 20, 72])"
1762168720.6152318,2.28004,0.25806,0.76429,-0.89804,0.35965,76,60,55,119,114,15,18,133,1,135,107,12,82,56,17,73,"dict_values([76, 60, 55, 119, 114, 15, 18, 133, 1, 135, 107, 12, 82, 56, 17, 73])"
1762168723.4767947,2.32981,0.37762,0.74713,-0.93156,0.2735,71,45,44,126,93,19,14,135,3,127,127,6,82,60,25,67,"dict_values([71, 45, 44, 126, 93, 19, 14, 135, 3, 127, 127, 6, 82, 60, 25, 67])"
1762168726.3544807,2.18805,0.37079,0.68421,-0.91034,0.22271,79,58,26,104,121,10,32,103,4,135,142,9,53,63,26,87,"dict_values([79, 58, 26, 104, 121, 10, 32, 103, 4, 135, 142, 9, 53, 63, 26, 87])"
1762168729.2232661,2.25134,0.38762,0.70548,-0.89683,0.26141,69,58,36,144,112,19,24,137,3,119,120,10,65,65,24,87,"dict_values([69, 58, 36, 144, 112, 19, 24, 137, 3, 119, 120, 10, 65, 65, 24, 87])"
1762168732.0722158,2.28349,0.36129,0.832,-0.89189,0.19831,82,48,51,129,108,10,11,121,4,140,105,10,64,75,20,78,"dict_values([82, 48, 51, 129, 108, 10, 11, 121, 4, 140, 105, 10, 64, 75, 20, 78])"
1762168734.8949828,2.08176,0.17406,0.72549,-0.9322,0.25,69,70,51,103,102,9,26,118,3,134,94,5,85,64,29,70,"dict_values([69, 70, 51, 103, 102, 9, 26, 118, 3, 134, 94, 5, 85, 64, 29, 70])"
1762168737.7703233,2.26319,0.2899,0.78832,-0.93893,0.24603,87,63,46,111,104,11,18,141,4,138,116,4,89,61,34,68,"dict_values([87, 63, 46, 111, 104, 11, 18, 141, 4, 138, 116, 4, 89, 61, 34, 68])"
1762168740.5674684,2.10744,0.30627,0.63158,-0.90805,0.26154,81,41,53,96,98,18,31,119,7,133,116,5,61,48,24,62,"dict_values([81, 41, 53, 96, 98, 18, 31, 119, 7, 133, 116, 5, 61, 48, 24, 62])"
1762168743.423936,2.05574,0.26619,0.70455,-0.90361,0.1814,71,56,46,105,94,14,25,131,1,119,118,11,63,58,30,64,"dict_values([71, 56, 46, 105, 94, 14, 25, 131, 1, 119, 118, 11, 63, 58, 30, 64])"
1762168746.237223,2.02758,0.12879,0.64493,-0.93728,0.31658,51,61,54,98,121,22,27,106,4,141,137,5,63,45,23,68,"dict_values([51, 61, 54, 98, 121, 22, 27, 106, 4, 141, 137, 5, 63, 45, 23, 68])"
