timestamp,S_value,E_ab,E_abp,E_apb,E_apbp,C_HH,C_HV,C_VH,C_VV,C_HD,C_HA,C_VD,C_VA,C_DH,C_DV,C_AH,C_AV,C_DD,C_DA,C_AD,C_AA
1762250152.7292695,1.59699,0.10204,0.7199,0.71363,0.06143,135,91,129,135,158,55,2,192,179,28,34,192,96,119,72,120
1762250155.5353887,1.74189,0.67224,-0.01435,0.35094,0.70435,125,16,33,125,57,104,2,46,97,38,48,82,99,20,14,97
1762250158.3237069,1.77962,-0.16547,0.71311,-0.4058,0.49524,65,77,85,51,86,33,2,123,59,84,110,23,83,31,22,74
1762250161.1760795,1.25828,-0.57353,0.01714,0.59514,-0.07246,33,96,118,25,34,84,2,55,98,18,32,99,51,54,57,45
1762250163.967991,2.30409,-0.48822,0.85774,0.81667,0.14146,47,105,116,29,101,15,2,121,107,7,15,111,65,50,38,52
1762250166.755474,0.8404,0.11462,-0.27397,-0.01639,0.43541,66,53,59,75,19,89,4,34,68,60,64,52,73,30,29,77
1762250169.5430868,1.52852,-0.63636,0.45946,0.01923,0.41346,23,112,95,23,54,59,1,108,54,49,53,52,69,39,22,78
1762250172.3758428,1.92558,0.3913,0.59336,-0.15789,0.78302,95,46,45,113,78,48,1,114,60,96,58,52,78,17,6,111
1762250175.171403,1.67069,-0.0757,0.85593,0.33061,0.40845,53,52,83,63,85,16,1,134,78,36,46,85,75,39,24,75
1762250177.9881215,2.11491,0.2459,0.86207,0.69853,-0.30841,96,44,71,94,97,17,1,146,110,19,22,121,39,83,57,35
1762250180.8539524,1.84258,-0.40614,0.91964,-0.36803,-0.14876,49,83,123,38,90,8,1,125,43,91,93,42,43,70,69,60
1762250183.729456,1.96746,0.15194,0.888,-0.6996,0.22791,71,59,61,92,103,11,3,133,17,106,109,21,47,49,34,85
1762250186.639908,1.82385,0.12853,0.92857,-0.6129,0.15385,75,50,89,105,113,10,0,157,28,92,108,20,52,55,44,83
1762250189.5208719,1.91619,0.27857,0.56,-0.73279,0.34483,85,37,64,94,67,44,0,89,16,96,118,17,83,34,42,73
1762250192.3828056,1.90296,-0.699,0.36946,-0.17736,-0.65714,16,121,133,29,51,64,0,88,53,84,72,56,18,114,89,24
1762250195.3073645,2.1089,-0.48837,0.76892,-0.26482,-0.58678,29,108,116,48,91,27,2,131,43,101,59,50,24,94,98,26
1762250198.1790624,1.77544,-0.54286,0.8254,-0.13445,0.27273,28,100,116,36,99,20,2,131,53,75,60,50,67,49,31,73
1762250201.0791736,1.58242,-0.09804,0.93103,-0.44223,0.11111,69,68,100,69,111,8,1,141,41,86,95,29,54,55,41,66
1762250203.9546037,1.97688,-0.09508,1.0,0.7318,-0.15,68,67,100,70,128,0,0,172,113,20,15,113,59,88,50,43
1762250206.8325236,1.77112,-0.3125,0.96454,0.48507,-0.00901,44,73,95,44,125,4,1,152,96,39,30,103,53,69,43,57
1762250209.7109842,1.58802,-0.26545,0.95367,-0.10623,0.26267,41,63,111,60,115,5,1,138,55,77,74,67,64,50,30,73
1762250212.5499847,1.9347,-0.09722,0.81967,0.31274,0.70507,64,70,88,66,88,22,0,134,86,51,38,84,87,18,14,98
1762250215.398806,1.84757,-0.26644,0.69432,0.05645,0.83036,53,77,106,53,92,33,2,102,73,63,54,58,85,14,5,120
1762250218.2828147,1.82421,-0.74684,0.51,0.23137,0.336,18,123,153,22,58,49,0,93,97,53,45,60,83,52,31,84
1762250221.1425796,1.90218,-0.63158,0.80672,0.06224,0.40164,18,101,147,38,95,23,0,120,67,60,53,61,81,44,29,90
1762250224.0168164,1.94722,-0.44444,0.91935,0.23207,0.35135,41,103,118,44,104,9,1,134,83,45,46,63,74,43,29,76
1762250226.8863978,2.35478,-0.35055,0.96761,0.77432,0.2623,51,64,119,37,98,4,0,145,115,14,15,113,87,60,30,67
1762250229.7565238,2.02544,0.01742,0.94677,0.90551,-0.15574,77,67,74,69,108,7,0,148,124,5,7,118,46,87,54,57
1762250232.5959847,2.6004,-0.55401,0.92481,0.64158,0.48,34,98,125,30,102,9,1,154,125,29,21,104,69,35,17,79
1762250237.549009,2.84759,-0.69231,0.8744,0.5869,0.69399,33,175,210,37,173,24,2,215,146,29,53,169,153,40,16,157
1762250239.6615038,2.74908,-0.67179,0.84,0.54497,0.69231,17,81,82,15,75,16,0,109,81,18,25,65,59,21,3,73
1762250241.7680967,2.87644,-0.6878,0.85034,0.66972,0.66857,20,73,100,12,54,10,1,82,106,18,18,76,63,22,7,83
1762250243.8718183,3.08765,-0.74869,0.85987,0.70443,0.77465,14,71,96,10,66,11,0,80,104,8,22,69,58,13,3,68
1762250245.980567,2.88502,-0.70443,0.89691,0.54839,0.73529,18,81,92,12,79,9,1,105,79,16,26,65,54,14,4,64
