timestamp,S_value,S_err,E_ab,E_abp,E_apb,E_apbp,C_HH,C_HV,C_VH,C_VV,C_HD,C_HA,C_VD,C_VA,C_DH,C_DV,C_AH,C_AV,C_DD,C_DA,C_AD,C_AA
1762552987.1532362,2.06909,0.07595,0.9102,-0.30045,0.12821,0.73023,308,17,5,160,102,204,86,54,177,127,60,65,223,46,12,149
1762553165.461776,1.88268,0.09601,0.91111,-0.04418,-0.03797,0.96537,177,7,5,81,78,91,39,41,68,83,40,46,144,0,4,83
1762553175.5614583,1.95659,0.06951,0.94393,-0.1055,-0.04622,0.95338,290,2,10,126,134,173,68,61,138,164,85,89,282,6,4,137
1762553179.5250473,2.2505,0.09483,0.55556,-0.59862,0.5375,0.55882,171,59,17,95,38,165,66,20,154,43,31,92,127,46,14,85
1762553183.367783,0.83012,0.10137,-0.28375,-0.24014,0.87726,-0.00353,81,166,67,49,65,132,41,41,163,13,4,97,86,102,40,55
1762553187.2144725,1.89657,0.10009,0.58065,-0.68456,0.28428,0.34708,163,54,11,82,28,177,74,19,120,75,32,72,120,66,29,76
1762553191.1244123,0.98433,0.10086,0.07778,-0.92281,-0.11184,0.09559,135,131,35,59,7,197,77,4,76,120,49,59,83,95,28,66
1762553195.0928679,0.4059,0.10311,0.49845,-0.32899,-0.57647,0.15493,163,66,15,79,64,137,67,39,44,166,102,28,101,89,31,63
1762553198.9776092,1.24428,0.10829,0.55556,-0.3808,0.37313,-0.06522,140,57,11,98,73,170,53,27,107,52,32,77,74,108,39,55
1762553202.8742154,0.97527,0.10029,0.73994,0.2,-0.20376,0.6391,192,26,16,89,120,84,28,48,82,125,67,45,126,28,20,92
1762553206.7595413,0.0,0.10324,-0.46067,-0.39189,0.46392,-0.40972,68,185,75,28,66,153,53,24,120,54,24,93,37,138,65,48
1762553210.7385564,1.28965,0.10234,0.20702,-0.51155,0.79094,-0.21986,111,74,39,61,54,151,78,20,148,16,14,109,69,123,49,41
1762553214.676237,0.1594,0.10412,0.50955,0.41259,-0.2963,0.35873,160,56,21,77,141,66,18,61,74,137,73,40,131,64,37,83
1762553218.6184847,1.35861,0.09155,0.89941,0.11401,-0.19728,0.77049,201,11,6,120,123,100,36,48,63,108,68,55,149,24,11,121
1762553222.6238623,1.65415,0.09578,0.06322,-0.69452,0.699,0.19741,132,110,53,53,25,205,89,28,169,24,21,85,115,95,29,70
1762553226.582082,0.5824,0.10753,0.51057,0.37333,0.24516,0.2,155,54,27,95,126,74,20,80,129,63,54,64,95,87,25,73
1762553230.5306218,2.04344,0.09699,0.31481,-0.56811,0.77246,0.38806,142,87,24,71,49,169,67,16,182,20,18,114,120,63,19,66
1762553234.4412687,0.01275,0.09232,-0.61371,-0.61616,0.59333,-0.58304,39,167,92,23,39,169,71,18,148,48,13,91,35,149,75,24
1762553238.3948658,1.54791,0.10351,0.55901,-0.26829,0.19497,0.52564,168,56,15,83,69,129,53,36,123,73,55,67,139,56,18,99
1762553242.393116,1.31749,0.09088,0.91139,0.11111,-0.25478,0.77199,205,11,3,97,112,94,34,48,80,130,67,37,170,24,11,102
1762553246.3745499,1.23769,0.10536,0.14478,-0.01618,0.59006,0.48667,120,97,30,50,104,124,33,48,154,41,25,102,145,59,18,78
1762553250.2897484,2.26674,0.09216,0.59375,-0.44937,0.7697,0.45392,166,48,17,89,56,174,55,31,179,21,17,113,130,59,21,83
1762553254.171595,1.47843,0.10168,0.8303,-0.06529,0.44099,0.14184,214,18,10,88,93,118,37,43,156,49,41,76,95,93,28,66
1762553258.1095424,1.3913,0.10126,0.21534,-0.49226,-0.01418,0.69789,139,104,29,67,53,180,61,29,92,93,50,47,182,41,9,99
1762553262.036382,1.15079,0.10061,-0.12353,-0.36877,0.81711,0.08844,91,141,50,58,59,146,60,36,195,18,13,113,93,101,33,67
1762553265.93695,2.07001,0.09622,0.65476,-0.28339,0.40214,0.72973,194,44,14,84,77,146,51,33,131,51,33,66,161,28,12,95
1762553269.814204,1.5447,0.09183,0.93902,-0.02251,-0.15309,0.73626,213,6,4,105,109,123,36,43,74,118,59,56,154,27,9,83
1762553273.6933908,1.72123,0.09872,0.41076,-0.46341,0.67213,0.17492,162,72,32,87,61,172,68,27,147,23,27,108,100,89,36,78
