metric,temperature_variable,lag_minutes,n,pearson_r,p_value
CHSH_S_value,T_Drnovo,-5,666,0.4731774204362187,1.8479442858340855e-38
CHSH_S_value,T_Ljubljana,60,596,0.5044033142713363,8.715669052058154e-40
CHSH_S_value,T_delta,60,596,0.4322811170343879,1.5630743281102893e-28
QBER_DA,T_Drnovo,-60,576,-0.5012852241261121,5.604343465406041e-38
QBER_DA,T_Ljubljana,10,634,-0.5675752770984257,2.431395886484112e-55
QBER_DA,T_delta,5,634,-0.38567238289059974,6.4640577139742024e-24
QBER_HV,T_Drnovo,5,634,-0.4593179663755698,2.0787452196349287e-34
QBER_HV,T_Ljubljana,-5,634,-0.538078134240545,7.206521922834872e-49
QBER_HV,T_delta,-25,613,-0.3133126224591289,1.98534614839908e-15
QBER_total,T_Drnovo,-45,592,-0.4699976213586272,7.278589530207228e-34
QBER_total,T_Ljubljana,5,634,-0.5767761114852565,1.7003711443470592e-57
QBER_total,T_delta,0,634,-0.34117935964528934,9.542368639546344e-19
vis_DA,T_Drnovo,-60,576,0.501285224126112,5.604343465406041e-38
vis_DA,T_Ljubljana,10,634,0.5675752770984257,2.431395886484112e-55
vis_DA,T_delta,5,634,0.3856723828905997,6.4640577139742024e-24
vis_HV,T_Drnovo,5,634,0.4593179663755697,2.0787452196349287e-34
vis_HV,T_Ljubljana,-5,634,0.538078134240545,7.206521922834872e-49
vis_HV,T_delta,-25,613,0.31331262245912883,1.98534614839908e-15
visibility,T_Drnovo,-45,592,0.4699976213586272,7.278589530207228e-34
visibility,T_Ljubljana,5,634,0.5767761114852564,1.7003711443473385e-57
visibility,T_delta,0,634,0.3411793596452893,9.542368639547373e-19
