datetime,visibility,vis_HV,vis_DA,QBER_total,QBER_HV,QBER_DA,CHSH_S_value,T_Ljubljana,T_Drnovo,T_delta,dT_Ljubljana_dt_C_per_h,dT_Drnovo_dt_C_per_h,dT_delta_dt_C_per_h
2026-07-01 09:17:55.353717566,,,,,,,0.0518568772194574,24.8,28.3,-3.5,,,
2026-07-01 09:18:33.744928598,,,,,,,0.8276738653585682,24.8,28.3,-3.5,0.0,0.0,0.0
2026-07-01 09:19:12.036117315,,,,,,,0.5375646537883183,24.8,28.3,-3.5,0.0,0.0,0.0
2026-07-01 09:19:50.861501217,,,,,,,0.7185720098198914,24.8,28.3,-3.5,0.0,0.0,0.0
2026-07-01 09:20:29.311395645,,,,,,,1.7981437338240505,24.8,28.3,-3.5,0.0,0.0,0.0
2026-07-01 09:21:08.007473707,,,,,,,1.9587016323105564,24.8,28.3,-3.5,0.0,0.0,0.0
2026-07-01 09:21:46.264466286,,,,,,,1.0172697257917651,24.8,28.3,-3.5,0.0,0.0,0.0
2026-07-01 09:22:24.649613619,,,,,,,1.631000699193008,24.8,28.3,-3.5,0.0,0.0,0.0
2026-07-01 09:23:03.918731213,,,,,,,0.6005170044671992,24.8,28.3,-3.5,0.0,0.0,0.0
2026-07-01 09:23:42.618934870,,,,,,,1.3990620919725527,24.8,28.3,-3.5,0.0,0.0,0.0
2026-07-01 09:24:21.181238174,,,,,,,1.572732112359231,24.8,28.3,-3.5,0.0,0.0,0.0
2026-07-01 09:24:59.772219896,,,,,,,0.4602291533723316,24.8,28.3,-3.5,0.0,0.0,0.0
2026-07-01 09:25:38.311529398,,,,,,,1.2299043773420393,24.8,28.3,-3.5,0.0,0.0,0.0
2026-07-01 09:26:16.720356941,,,,,,,1.386936825953606,24.8,28.3,-3.5,0.0,0.0,0.0
2026-07-01 09:26:55.143611908,,,,,,,1.7082154819062645,24.8,28.3,-3.5,0.0,0.0,0.0
2026-07-01 09:27:33.894326210,,,,,,,2.0147894564617235,24.8,28.3,-3.5,0.0,0.0,0.0
2026-07-01 09:28:12.292511940,,,,,,,1.440540581402321,24.8,28.3,-3.5,0.0,0.0,0.0
2026-07-01 09:28:50.608208179,,,,,,,1.3098599416637249,24.8,28.3,-3.5,0.0,0.0,0.0
2026-07-01 09:29:28.902296782,,,,,,,1.812145378840533,24.8,28.3,-3.5,0.0,0.0,0.0
2026-07-01 09:30:07.358750105,,,,,,,1.4321456263175112,27.1,30.0,-2.8999999999999986,215.30846670792462,159.14104061020504,56.167426097719584
2026-07-01 09:30:45.545335770,,,,,,,1.698479329156039,27.1,30.0,-2.8999999999999986,0.0,0.0,0.0
