metric,temperature_variable,n,pearson_r,p_value
visibility,T_Ljubljana,634,0.5745789442712905,5.642115426000732e-57
QBER_total,T_Ljubljana,634,-0.5745789442712905,5.642115426000732e-57
QBER_DA,T_Ljubljana,634,-0.5526470150678123,5.5196121031914854e-52
vis_DA,T_Ljubljana,634,0.5526470150678122,5.5196121031914854e-52
QBER_HV,T_Ljubljana,634,-0.5353306991286749,2.6816849161758794e-48
vis_HV,T_Ljubljana,634,0.5353306991286747,2.6816849161765737e-48
CHSH_S_value,T_Drnovo,666,0.46537025590227404,4.253323530461661e-37
QBER_HV,T_Drnovo,634,-0.45653733062617663,5.789382776000488e-34
vis_HV,T_Drnovo,634,0.4565373306261765,5.789382776000488e-34
visibility,T_Drnovo,634,0.4177241294364994,3.6393458920455847e-28
QBER_total,T_Drnovo,634,-0.4177241294364994,3.6393458920455847e-28
vis_DA,T_delta,634,0.37973811092902815,3.5271701408931885e-23
QBER_DA,T_delta,634,-0.37973811092902815,3.5271701408931885e-23
CHSH_S_value,T_Ljubljana,666,0.34754269876692867,2.423694447269487e-20
QBER_total,T_delta,634,-0.34117935964528934,9.542368639546344e-19
visibility,T_delta,634,0.3411793596452893,9.542368639547373e-19
vis_DA,T_Drnovo,634,0.3355057939091734,3.817255395719481e-18
QBER_DA,T_Drnovo,634,-0.3355057939091734,3.817255395719481e-18
QBER_HV,T_delta,634,-0.2654569684665898,1.0975581689068228e-11
vis_HV,T_delta,634,0.2654569684665897,1.0975581689068228e-11
CHSH_S_value,dT_Drnovo_dt_C_per_h,270,0.1155429265174999,0.05794540485241226
CHSH_S_value,dT_delta_dt_C_per_h,270,-0.09961366923224657,0.10240794887205792
vis_HV,dT_Drnovo_dt_C_per_h,395,-0.07118280999819679,0.1579386056916018
QBER_HV,dT_Drnovo_dt_C_per_h,395,0.07118280999819676,0.1579386056916018
visibility,dT_Drnovo_dt_C_per_h,395,-0.061628703204473875,0.22165980405166533
QBER_total,dT_Drnovo_dt_C_per_h,395,0.06162870320447387,0.22165980405166533
CHSH_S_value,dT_Ljubljana_dt_C_per_h,270,0.05003117208741644,0.412903481947883
vis_DA,dT_Drnovo_dt_C_per_h,395,-0.04572120723094057,0.36478489542725995
QBER_DA,dT_Drnovo_dt_C_per_h,395,0.045721207230940565,0.36478489542725995
vis_HV,dT_delta_dt_C_per_h,395,0.04384418154728946,0.3848240139762856
QBER_HV,dT_delta_dt_C_per_h,395,-0.043844181547289446,0.3848240139762856
CHSH_S_value,T_delta,666,0.0426152080122074,0.2721160088055218
visibility,dT_delta_dt_C_per_h,395,0.029740899119609025,0.5556293277999195
QBER_total,dT_delta_dt_C_per_h,395,-0.029740899119609025,0.5556293277999195
QBER_DA,dT_Ljubljana_dt_C_per_h,395,0.021228533569908916,0.674033272436137
vis_DA,dT_Ljubljana_dt_C_per_h,395,-0.02122853356990889,0.674033272436137
QBER_total,dT_Ljubljana_dt_C_per_h,395,0.01655303115505002,0.7429382406897653
visibility,dT_Ljubljana_dt_C_per_h,395,-0.016553031155050017,0.7429382406897653
vis_DA,dT_delta_dt_C_per_h,395,0.012732655884517441,0.8008364117027018
QBER_DA,dT_delta_dt_C_per_h,395,-0.01273265588451741,0.8008364117027085
QBER_HV,dT_Ljubljana_dt_C_per_h,395,0.010016601849457962,0.8426929254679861
vis_HV,dT_Ljubljana_dt_C_per_h,395,-0.010016601849457955,0.8426929254679904
